date,load_mwh,wind_mwh,pv_mwh,rtpv_mwh,hydro_mwh,csp_mwh,renewable_share,net_load_ramp_rms_mw_5min
2020-01-01,90616.06331117499,34130.25,7375.933333333333,4036.116666666667,6242.016666666666,39.300000000000004,0.5025852849467543,37.70679133005773
2020-01-02,90052.71597273333,35223.86666666667,7996.858333333333,4627.333333333333,6074.691666666667,201.20000000000002,0.531333872793143,35.69565272419284
2020-01-03,89189.63389086667,36881.875,8290.408333333333,4834.933333333333,5205.075,1867.2,0.5606841791486217,42.44221704552596
2020-01-04,82871.49144160833,26446.241666666665,7801.991666666666,4889.566666666667,5158.908333333333,1794.2,0.4722709742418077,42.58868458642498
2020-01-05,81387.56454635834,53562.666666666664,8501.758333333333,4744.308333333333,4044.4666666666667,2123.2000000000003,0.8208715140416701,35.12559040436373
2020-01-06,90040.277375475,46945.275,8678.533333333335,5030.683333333333,7191.208333333333,2288.7999999999997,0.6736373258128993,43.60982884069666
2020-01-07,90695.11630022501,55083.75833333333,8394.316666666668,4967.525000000001,6952.183333333334,1928.0,0.7546779009955378,44.48605860438834
2020-01-08,92163.22607781668,56560.25833333334,7130.125,4692.7,6256.866666666666,2251.2999999999997,0.7419779693431638,36.52338082586512
2020-01-09,91477.47005215834,39989.049999999996,8173.258333333334,4941.116666666668,6074.691666666667,2305.9,0.5805082384736007,36.472679625408524
2020-01-10,89762.11638234166,40842.833333333336,8485.233333333332,4891.008333333333,5205.075,2347.7000000000003,0.6040307112307145,41.70463520822596
2020-01-11,83720.88734130001,28298.2,6649.375,1928.8083333333334,5158.908333333333,1999.7,0.44046813769425963,38.91232433938919
2020-01-12,82645.527546525,35740.48333333333,9014.975,4997.75,4044.4666666666667,1771.9000000000003,0.602007268999825,40.86960005879891
2020-01-13,92164.967351,28679.908333333336,9093.508333333333,5306.041666666667,3053.3416666666667,2271.5,0.46741684580942805,42.846710562172795
2020-01-14,94766.23146466666,43173.583333333336,8321.925000000001,5091.775000000001,2585.083333333333,1987.8,0.5971249722474378,45.02040455613887
2020-01-15,93454.34848494169,27772.075,7704.25,3954.308333333333,2744.7166666666667,2306.4,0.42192400859427953,45.690437046653486
2020-01-16,92119.17562264168,42290.441666666666,8077.274999999999,4560.308333333333,2955.9500000000003,2367.4,0.5962713477268615,39.09384470805491
2020-01-17,92866.02510963334,52897.21666666667,9000.766666666666,5369.966666666666,3483.0000000000005,2313.2000000000003,0.7243547887463317,44.968739948317136
2020-01-18,87843.470671275,20627.066666666666,9044.683333333334,5223.008333333333,4656.333333333333,2225.0,0.39723792863234386,33.74480947675353
2020-01-19,85535.51734030833,7240.766666666666,8385.791666666666,5311.283333333333,4160.366666666668,1919.6000000000004,0.24478535136888427,44.751029242270896
2020-01-20,91454.15377189168,10770.733333333334,9287.666666666666,5452.575000000001,4138.141666666666,2451.8999999999996,0.278948237426486,38.77184687860837
2020-01-21,90765.49512530833,7159.116666666666,8794.025,5381.958333333333,5899.008333333332,2446.4,0.2350573857449392,32.76166529749436
2020-01-22,89734.6606455,21493.8,8930.35,4231.791666666667,5744.25,931.1999999999999,0.38620463282940587,44.1314782261719
2020-01-23,90873.16198593333,51168.98333333334,8969.966666666667,4706.358333333334,6464.658333333334,2485.0,0.7135804116001931,40.0189540746807
2020-01-24,89999.28616211668,48904.74166666666,9224.949999999999,4821.891666666667,7683.783333333333,1771.0,0.6994675848865952,43.855787414749685
2020-01-25,85389.21414109167,54339.99166666666,8478.633333333333,5219.05,7506.5,2420.2000000000003,0.796794720321221,34.54181052738391
2020-01-26,83013.4737441,42070.90833333333,9352.041666666668,5252.441666666667,8145.149999999999,2093.2999999999997,0.6827252144799535,43.713083539456136
2020-01-27,90333.02575195832,58928.11666666666,9299.916666666666,5310.583333333333,8009.666666666667,2534.2000000000003,0.8140833992275789,42.010684156667146
2020-01-28,87891.88079375,50209.6,9025.491666666667,5546.408333333333,7999.716666666667,1274.0,0.7370589799075801,42.99430233925085
2020-01-29,89093.16895425,57384.60833333334,8746.349999999999,5436.591666666666,8159.608333333334,2162.4,0.8032888586188968,36.10140567489795
2020-01-30,89316.14126365834,56456.26666666666,7556.766666666666,4509.75,6851.150000000001,2511.4999999999995,0.767193727403161,36.5451822538359
2020-01-31,88296.51205834166,33430.1,8917.358333333334,4946.616666666666,5997.266666666667,2551.5,0.5356278962497474,35.11088196941621
2020-02-01,81285.72604914167,42423.25,8598.550000000001,4170.724999999999,5890.683333333333,2386.9,0.6789940581527574,49.38046412271135
2020-02-02,79065.70066415833,29642.966666666664,8121.091666666666,4398.833333333333,6593.866666666666,2113.5,0.5332639983266441,36.3091456146663
2020-02-03,87973.22591088334,2832.225,9121.616666666667,5021.066666666667,6938.066666666667,2493.7,0.1929553924796264,35.37737363998088
2020-02-04,88607.05041880002,1252.8916666666667,9373.125,5173.066666666667,6768.133333333334,1818.5,0.178305036209412,36.98045260485056
2020-02-05,88815.08289064998,5879.175,9202.983333333334,5034.858333333334,7328.3,2327.2999999999997,0.22650450815246032,33.22231251557743
2020-02-06,88261.95190982502,13327.958333333334,8944.216666666667,5683.083333333333,7387.416666666667,2383.7999999999997,0.31673056995039617,35.89025172358596
